国,感染者,死亡者,日付
中国,440,9,2020-01-22
タイ,2,0,2020-01-22
韓国,1,0,2020-01-22
台湾,1,0,2020-01-22
米国,1,0,2020-01-22
中国,571,17,2020-01-23
タイ,4,0,2020-01-23
韓国,1,0,2020-01-23
台湾,1,0,2020-01-23
米国,1,0,2020-01-23
中国,830,25,2020-01-24
タイ,4,0,2020-01-24
韓国,2,0,2020-01-24
台湾,1,0,2020-01-24
米国,1,0,2020-01-24
ベトナム,2,0,2020-01-24
シンガポール,1,0,2020-01-24
中国,2744,80,2020-01-27
タイ,8,0,2020-01-27
韓国,4,0,2020-01-27
台湾,4,0,2020-01-27
米国,5,0,2020-01-27
ベトナム,2,0,2020-01-27
シンガポール,4,0,2020-01-27
フランス,3,0,2020-01-27
オーストラリア,4,0,2020-01-27
マレーシア,4,0,2020-01-27
ネパール,1,0,2020-01-27
カナダ,1,0,2020-01-27
中国,4515,106,2020-01-28
タイ,8,0,2020-01-28
韓国,4,0,2020-01-28
台湾,5,0,2020-01-28
米国,5,0,2020-01-28
ベトナム,2,0,2020-01-28
シンガポール,5,0,2020-01-28
フランス,3,0,2020-01-28
オーストラリア,5,0,2020-01-28
マレーシア,4,0,2020-01-28
ネパール,1,0,2020-01-28
カナダ,1,0,2020-01-28
カンボジア,1,0,2020-01-28
スリランカ,1,0,2020-01-28
ドイツ,1,0,2020-01-28
中国,5974,132,2020-01-29
タイ,14,0,2020-01-29
韓国,4,0,2020-01-29
台湾,8,0,2020-01-29
米国,5,0,2020-01-29
ベトナム,2,0,2020-01-29
シンガポール,7,0,2020-01-29
フランス,4,0,2020-01-29
オーストラリア,5,0,2020-01-29
マレーシア,7,0,2020-01-29
ネパール,1,0,2020-01-29
カナダ,3,0,2020-01-29
カンボジア,1,0,2020-01-29
スリランカ,1,0,2020-01-29
ドイツ,4,0,2020-01-29
中国,7711,170,2020-01-30
タイ,14,0,2020-01-30
韓国,4,0,2020-01-30
台湾,8,0,2020-01-30
米国,5,0,2020-01-30
ベトナム,2,0,2020-01-30
シンガポール,10,0,2020-01-30
フランス,5,0,2020-01-30
オーストラリア,7,0,2020-01-30
マレーシア,7,0,2020-01-30
ネパール,1,0,2020-01-30
カナダ,3,0,2020-01-30
カンボジア,1,0,2020-01-30
スリランカ,1,0,2020-01-30
ドイツ,4,0,2020-01-30
アラブ首長国連邦,4,0,2020-01-30
フィンランド,1,0,2020-01-30
中国,9692,212,2020-01-31
タイ,14,0,2020-01-31
韓国,7,0,2020-01-31
台湾,9,0,2020-01-31
米国,6,0,2020-01-31
ベトナム,5,0,2020-01-31
シンガポール,13,0,2020-01-31
フランス,6,0,2020-01-31
オーストラリア,9,0,2020-01-31
マレーシア,8,0,2020-01-31
ネパール,1,0,2020-01-31
カナダ,3,0,2020-01-31
カンボジア,1,0,2020-01-31
スリランカ,1,0,2020-01-31
ドイツ,4,0,2020-01-31
アラブ首長国連邦,4,0,2020-01-31
フィンランド,1,0,2020-01-31
イタリア,2,0,2020-01-31
インド,1,0,2020-01-31
フィリピン,1,0,2020-01-31
中国,17205,361,2020-02-03
タイ,19,0,2020-02-03
韓国,15,0,2020-02-03
台湾,10,0,2020-02-03
米国,11,0,2020-02-03
ベトナム,7,0,2020-02-03
シンガポール,18,0,2020-02-03
フランス,6,0,2020-02-03
オーストラリア,12,0,2020-02-03
マレーシア,8,0,2020-02-03
ネパール,1,0,2020-02-03
カナダ,4,0,2020-02-03
カンボジア,1,0,2020-02-03
スリランカ,1,0,2020-02-03
ドイツ,10,0,2020-02-03
アラブ首長国連邦,5,0,2020-02-03
フィンランド,1,0,2020-02-03
イタリア,2,0,2020-02-03
インド,2,0,2020-02-03
フィリピン,2,1,2020-02-03
英国,2,0,2020-02-03
ロシア,2,0,2020-02-03
スウェーデン,1,0,2020-02-03
